assetid,assetname,location,cloud,dt,batch,epo,remarks
TKMB200500XE,"手机 OPPO R7 Plus m(二手机/全网通4G手机/4GB+64GB/颜色随机) Pcs(14216)",a6,a6_top300_cloud,"2021-02-03 00:00:00",38,PR-GO-202004300808,NULL
TKMB200500XX,"手机 小米 4 (二手机/移动4G版/3GB+16GB/颜色随机) Pcs(14237)",a6,a6_top300_cloud,"2021-02-03 00:00:00",38,PR-GO-202004300807,NULL
TKMB2005032P,"手机 华为 nova2(二手机全网通4G手机4GB+64GB颜色不限) Pcs(14215)",a6,a6_top300_cloud,"2021-02-03 00:00:00",38,PR-GO-202005111630,NULL
TKMB2007032E,"手机 三星 SAMSUNG SM-A205F （4GB+64GB/美版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007032F,"手机 三星 SAMSUNG SM-A205F （4GB+64GB/美版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007032G,"手机 三星 SAMSUNG SM-A202F （4GB+64GB/美版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007032J,"手机 三星 SAMSUNG SM-G960N （4GB+64GB/美版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007032L,"手机 谷歌 GOOGLE PIXEL 3 XL （4GB+128GB/美版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007032M,"手机 三星 SAMSUNG SM-G9350 (4GB+64GB/美版)（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007032N,"手机 三星 SAMSUNG SM-G9350 (4GB+64GB/美版)（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007032T,"手机 三星 SAMSUNG SM-A202F （4GB+64GB/美版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007032X,"手机 三星 SAMSUNG SM-G960N （4GB+64GB/美版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007032Y,"手机 谷歌 GOOGLE PIXEL 3 XL （4GB+128GB/美版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20070330,"手机 LG LG LM-X625N （2GB+32GB/韩版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20070331,"手机 LG LG LM-X625N （2GB+32GB/韩版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20070332,"手机 小米 XIAOMI MI A2 LITE (3GB+32GB/欧版)（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20070333,"手机 小米 XIAOMI MI A2 LITE (3GB+32GB/欧版)（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20070334,"手机 redmi REDMI REDMI 5A (2GB+16GB/印度版)（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20070335,"手机 redmi REDMI REDMI 5A (2GB+16GB/印度版)（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20070336,"手机 华为 HUAWEI LLD-L31 （4GB+64GB/欧版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20070337,"手机 华为 HUAWEI LLD-L31 （4GB+64GB/欧版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20070338,"手机 LG LG LGM-G600S （4GB+64GB/韩版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20070339,"手机 LG LG LGM-G600S （4GB+64GB/韩版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007033A,"手机 三星 SAMSUNG SM-A105G （4GB+64GB/美版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007033E,"手机 摩托罗拉 MOT MOTO G(7) POWER （4GB+64GB/美版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007033F,"手机 摩托罗拉 MOT MOTO G(7) POWER （4GB+64GB/美版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007033G,"手机 LG LG LM-X415S （4GB+64GB/韩版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007033J,"手机 redmi REDMI REDMI 6 PRO (2GB+16GB/印度版)（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007033L,"手机 三星 SAMSUNG SM-A105F (2GB+16GB/美版)（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007033M,"手机 redmi REDMI REDMI 5 PLUS （3GB+128GB/印度版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007033N,"手机 redmi REDMI REDMI 5 PLUS （3GB+128GB/印度版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007033P,"手机 三星 SAMSUNG SM-A105G （4GB+64GB/美版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007033R,"手机 三星 SAMSUNG SM-N910S （6GB+128GB/日版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007033T,"手机 LG LG LM-X415S （4GB+64GB/韩版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007033W,"手机 三星 SAMSUNG SM-N910S （6GB+128GB/日版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007033X,"手机 redmi REDMI REDMI 6 PRO (2GB+16GB/印度版)（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB2007033Y,"手机 三星 SAMSUNG SM-A105F (2GB+16GB/美版)（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20070340,"手机 三星 SAMSUNG SM-A305N （4GB+64GB/韩版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20070341,"手机 三星 SAMSUNG SM-A305N （4GB+64GB/韩版）（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20070342,"手机 三星 SAMSUNG SM-A505FN (3GB+32GB/欧版)（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20070343,"手机 三星 SAMSUNG SM-A505FN (3GB+32GB/欧版)（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
TKMB20070344,"手机 三星 SAMSUNG SM-N916S (3GB+32GB/日版)（自行采购） Pcs",b2,teg,"2020-07-31 00:00:00",62,STI202007303969,NULL
