公司,资产标签,型号,品牌,类别：,生产厂家,位置,状态
腾讯,TKMB171206HK,"REDMI NOTE 4X",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB1706026H,"OPPO R9M",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB201002PG,PDEM10,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB180600EW,VIE-AL10,HUAWEI,Android,HUAWEI,A1-线下箱子5,"待上线 (deployable)"
腾讯,TKMB191002G5,LG-SP200,LGE,Android,LGE,,"新增 (deployable)"
腾讯,TKMB2004053W,LYA-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB161004KA,VIE-AL10,HUAWEI,Android,HUAWEI,A1-线下箱子5,"待上线 (deployable)"
腾讯,TKMB200500XX,"MI 4",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB19090323,MHA-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB18030383,BND-AL10,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB200405M1,A37F,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB20050311,"OPPO A79T",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB1801046K,"OPPO R11S PLUS",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB1611094F,"MI NOTE 2",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB191203AG,"MI MAX 3",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB201001NY,SM-G928F,samsung,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB201202Y1,CLT-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB191000PR,SM-G920L,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB190801AL,"REDMI NOTE 4X",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB200501Y5,"REDMI K30 5G",REDMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB201000T0,ASUS_I001DA,ASUS,Android,asus,,"新增 (deployable)"
腾讯,TKMB200500XG,PIC-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB190701FP,"HUAWEI MLA-AL10",HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB1706021E,BLN-AL40,HONOR,Android,HUAWEI,B2-G02-0514,"上线 (deployable)"
腾讯,TKMB190801RE,"iPhone8 Plus",Apple,iOS,Apple,,"新增 (deployable)"
腾讯,TKMB201203XL,"REDMI 7",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB200901P6,V1913A,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB1806023W,"VIVO Y67L",VIVO,Android,vivo,A1-线下箱子4,"待上线 (deployable)"
腾讯,TKMB19020068,LND-AL30,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB191207TG,SO-04K,DOCOMO,Android,Sony,,"新增 (deployable)"
腾讯,TKMB19120718,M5C,MEIZU,Android,meizu,,"新增 (deployable)"
腾讯,TKMB200602M6,V1916A,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB2012030F,V1962A,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB201001M5,SM-J810Y,samsung,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB20070344,SM-N916S,samsung,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB191202LP,HLTE216T,HISENSE,Android,Hisense,,"新增 (deployable)"
腾讯,TKMB191102AW,LIO-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB200802P6,JEF-AN00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB201000EN,"MIX 2S",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB190800ME,"iPhoneXS Max",Apple,iOS,Apple,,"新增 (deployable)"
腾讯,TKMB200500X2,DUA-AL00,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB2005028M,AGS2-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB200501LX,PCKM00,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB16061HA1,KIW-AL10,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB180600PE,BAC-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB180600PY,MP1709,MEITU,Android,Meitu,,"新增 (deployable)"
腾讯,TKMB1712080K,BND-AL10,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB19050XTY,"OPPO R7S",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB19050XJN,TA-1054,NOKIA,Android,"HMD Global",,"新增 (deployable)"
腾讯,TKMB19120134,"VIVO XPLAY6",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB200901YE,JEF-AN20,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB200800A3,"iPhone 8",Apple,iOS,Apple,,"新增 (deployable)"
腾讯,TKMB180307HF,ATH-AL00,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB200400AM,OXF-AN10,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB190700Y3,"OPPO R11S PLUS",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB200605JF,TEL-AN00A,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB19050051,iPhone6,Apple,iOS,Apple,,"新增 (deployable)"
腾讯,TKMB190902LL,"REDMI NOTE 4X",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB20090202,iPhone11,Apple,iOS,Apple,,"新增 (deployable)"
腾讯,TKMB201204RL,M2006J10C,REDMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB171003AS,"MI 5X",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB191002EG,STF-L09,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB1905094Y,"iPhone8 Plus",Apple,iOS,Apple,,"新增 (deployable)"
腾讯,TKMB19080107,iPhoneX,Apple,iOS,Apple,,"新增 (deployable)"
腾讯,TKMB180304AA,BND-AL10,HONOR,Android,HUAWEI,B2-G02-0110,"上线 (deployable)"
腾讯,TKMB190901RJ,SM-J737P,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB170202H3,"OPPO A53",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB20090209,iPhone11,Apple,iOS,Apple,,"新增 (deployable)"
腾讯,TKMB200801NN,V1950A,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB180600NF,RNE-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB190902MA,CPH1823,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB20040607,COR-AL10,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB200501LL,DUB-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB2009024A,"iPad Pro(9.7)",Apple,iOS,Apple,,"新增 (deployable)"
腾讯,TKMB201203RN,PBCT10,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB19050LPJ,"VIVO Z3X",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB1902009X,"VIVO X7PLUS",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB19120132,"OPPO R11ST",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB191204WM,KNT-AL20,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB180600RG,SM-J3110,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB201001L1,"REDMI NOTE 1S",REDMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB19100106,ANE-AL00,HUAWEI,Android,HUAWEI,B2-G02-0106,"上线 (deployable)"
腾讯,TKMB191000A5,SM-G920L,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB20050308,"OPPO A79",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB2010021G,SM-A405FN,samsung,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB15094924,"OPPO R7",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB200302Y7,V1901A,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB191201T9,"VIVO NEX A",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB191204A9,PCNM00,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB1803021H,PRA-TL10,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB1803080S,"VIVO Y79A",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB1806028T,"VIVO X9",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB171206AE,"OPPO A77",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB20090232,V2012A,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB1703039H,R7PLUSM,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB2005009P,"MI 6X",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB1806009P,"REDMI 4X",XIAOMI,Android,Xiaomi,A1-线下箱子3,"待上线 (deployable)"
腾讯,TKMB1808019R,"MI 6",XIAOMI,Android,Xiaomi,A1-线下箱子6,"待上线 (deployable)"
腾讯,TKMB1908005J,"OPPO R11",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB17040274,"OPPO A57",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB180306KK,"REDMI NOTE 4",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB191206NW,AUM-AL20,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB1909026R,VOG-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB17060236,OD103,SMARTISAN,Android,smartisan,,"新增 (deployable)"
腾讯,TKMB190701FJ,PRA-AL00X,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB191000W6,SM-G920P,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB201205E8,"MIX 2",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB200503LW,PBBT30,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB200501N1,FLA-TL10,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB2008009E,"iPhone 7P",Apple,iOS,Apple,,"新增 (deployable)"
腾讯,TKMB180501L9,MP1709,MEITU,Android,Meitu,A1-线下箱子3,"待上线 (deployable)"
腾讯,TKMB17020210,LG-H990,LGE,Android,LGE,,"新增 (deployable)"
腾讯,TKMB180306K9,"REDMI NOTE 3",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB190901RW,LG-K220,LGE,Android,LGE,,"新增 (deployable)"
腾讯,TKMB200501NE,FLA-AL10,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB190508N4,"VIVO V3",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB190901WE,SM-G611F,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB200901MR,TAS-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB181204J3,SM-J700H,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB190801W5,"VIVO Y51",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB181204JM,"REDMI 5 PLUS",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB200500N2,"OPPO A57",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB191202N4,"VIVO X9PLUS L",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB19120264,V1818A,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB1806016F,"REDMI 5",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB1803020S,PRA-AL00,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB170401S8,"REDMI NOTE 4X",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB18030748,NCE-AL10,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB2007032E,SM-A205F,samsung,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB19090250,"MOTO G(6)",MOTOROLA,Android,motorola,,"新增 (deployable)"
腾讯,TKMB19090254,SNE-LX1,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB200405EN,BLN-AL40,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB201204R6,M2004J7AC,REDMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB200501YF,LYA-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB201202AP,TAS-AN00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB180602P4,"VIVO X9S",VIVO,Android,vivo,A1-线下箱子4,"待上线 (deployable)"
腾讯,TKMB180306E1,"HUAWEI NXT-AL10",HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB17020307,SCL-AL00,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB191100ET,"MOTO E5 PLUS",MOTOROLA,Android,motorola,,"新增 (deployable)"
腾讯,TKMB190902TN,SO-01L,DOCOMO,Android,Sony,,"新增 (deployable)"
腾讯,TKMB180303F9,DUK-TL30,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB200405NR,BKL-AL00,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB170202A2,"OPPO A53",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB190902TA,LM-G710N,LGE,Android,LGE,,"新增 (deployable)"
腾讯,TKMB1709017E,"OPPO A59S",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB2005021E,"MI 10 PRO",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB20010026,"MI 9 TRANSPARENT EDITION",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB160706FA,SM-G9250,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB1909017G,VCE-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB17090423,"iPhone SE",Apple,iOS,Apple,,"新增 (deployable)"
腾讯,TKMB19090247,"MI A2 LITE",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB18010438,"VIVO X7",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB18010542,"OPPO A33",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB1806008Y,"M6 NOTE",MEIZU,Android,meizu,,"新增 (deployable)"
腾讯,TKMB18010439,"OPPO R11 PLUSKT",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB190900A0,ELE-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB2004054P,V1824BA,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB200401E0,HD1910,ONEPLUS,Android,OnePlus,B2-G08-0311,"上线 (deployed)"
腾讯,TKMB17030191,"PRO 6S",MEIZU,Android,meizu,,"新增 (deployable)"
腾讯,TKMB2011040T,V1818CT,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB191000PM,SM-A520F,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB190901RT,SM-G975U,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB16090468,iPhone7,Apple,iOS,Apple,,"新增 (deployable)"
腾讯,TKMB20060379,V1986A,VIVO,Android,vivo,B2-G02-0414,"上线 (deployable)"
腾讯,TKMB180306HE,FRD-AL10,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB180306H3,BLN-AL20,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB180601PT,DLI-TL20,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB181204X5,SM-J530Y,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB200801NL,KKG-AN00,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB170501SS,VKY-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB191002F7,SM-J200GU,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB20030286,"REDMI NOTE 8 PRO",REDMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB191101LA,SM-G9350,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB19090322,"REDMI NOTE 5",XIAOMI,Android,Xiaomi,B2-G02-0303,"上线 (deployable)"
腾讯,TKMB180306H8,"VIVO X9L",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB190200AJ,"M5 NOTE",MEIZU,Android,meizu,,"新增 (deployable)"
腾讯,TKMB1910020P,"OPPO R9 PLUSM A",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB170903KF,"PRO 7 PLUS",MEIZU,Android,meizu,,"新增 (deployable)"
腾讯,TKMB200500N1,POT-AL00A,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB201000F0,CLT-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB190400LP,"REDMI 5 PLUS",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB1909016R,"VIVO X21A",VIVO,Android,vivo,B2-G02-0504,"上线 (deployable)"
腾讯,TKMB191207GN,KYV41,KYOCERA,Android,KYOCERA,,"新增 (deployable)"
腾讯,TKMB191202XA,"LENOVO L78121",LENOVO,Android,Lenovo,,"新增 (deployable)"
腾讯,TKMB170502K1,"OPPO A59M",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB18010457,EVA-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB16110888,E5563,SONY,Android,Sony,,"新增 (deployable)"
腾讯,TKMB180602AA,"VIVO X9PLUS",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB201001LP,706SH,SHARP,Android,SHARP,,"新增 (deployable)"
腾讯,TKMB1603A73A,SM-N9006,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB1804017N,NX595J,NUBIA,Android,nubia,,"新增 (deployable)"
腾讯,TKMB191201MF,V1911A,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB20030126,YAL-AL50,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB200302JN,PCGM00,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB201103LP,"VIVO Y67L",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB181204J6,"N6 Pro",360,Android,360,,"新增 (deployable)"
腾讯,TKMB190701W7,"VIVO X21UD A",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB18040018,"OPPO R11S PLUS",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB1803018F,"MI 5",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB200302XA,"REDMI 5 PLUS",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB200302XL,V1821A,VIVO,Android,vivo,B2-G03-0404,"上线 (deployable)"
腾讯,TKMB201204RT,M2006J10C,REDMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB1804023N,"VIVO Y79A",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB1908011L,iPhoneXS,Apple,iOS,Apple,,"新增 (deployable)"
腾讯,TKMB191206M3,"VIVO Y67L",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB200500J2,SM-G6200,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB190200A9,"VIVO Y75A",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB1903004R,VTR-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB190902TP,LM-G710N,LGE,Android,LGE,,"新增 (deployable)"
腾讯,TKMB18030492,"REDMI 4X",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB200500LX,V1922A,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB200901G3,ASUS_I001DE,ASUS,Android,asus,,"新增 (deployable)"
腾讯,TKMB2010021T,"REDMI S2",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB190901W4,SM-G885S,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB170202F5,"PRO 6S",MEIZU,Android,meizu,,"新增 (deployable)"
腾讯,TKMB191206F3,PCHM30,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB1912073T,V1832A,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB19050LXF,NX629J,NUBIA,Android,nubia,,"新增 (deployable)"
腾讯,TKMB190801A1,"OPPO R11ST",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB20090205,iPhone11,Apple,iOS,Apple,,"新增 (deployable)"
腾讯,TKMB18030809,"VIVO X9S PLUS L",VIVO,Android,vivo,A1-线下箱子4,"待上线 (deployable)"
腾讯,TKMB2005021F,LIO-AN00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB1912011W,PCHM30,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB180302E1,"OPPO R9TM",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB20040107,ANA-AN00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB171105A4,ALP-AL00,HUAWEI,Android,HUAWEI,B2-G02-0613,"上线 (deployable)"
腾讯,TKMB20090046,"SHARK KLE-A0",BLACKSHARK,Android,blackshark,,"新增 (deployable)"
腾讯,TKMB200901JY,"REDMI K30 5G",REDMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB2007032N,SM-G9350,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB17090345,"VIVO XPLAY5A",VIVO,Android,vivo,B2-G02-0404,"上线 (deployable)"
腾讯,TKMB19090074,PCAM00,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB15110A11,"iPhone 6S",Apple,iOS,Apple,,"新增 (deployable)"
腾讯,TKMB20050264,LLD-AL10,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB2010021L,CPH1611,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB180400NT,"OPPO R11S",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB180601JT,SKR-A0,BLACKSHARK,Android,blackshark,,"新增 (deployable)"
腾讯,TKMB16120576,VIE-AL10,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB180700F8,BND-AL10,HONOR,Android,HUAWEI,A1-线下箱子5,"待上线 (deployable)"
腾讯,TKMB1806026X,"VIVO X9I",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB191002EL,"OPPO A37FW",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB180307HH,PE-TL20,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB2005010N,NOTE9,MEIZU,Android,meizu,,"新增 (deployable)"
腾讯,TKMB1907004R,V1911A,VIVO,Android,vivo,A1-11F-弱网络机柜,"上线 (deployed)"
腾讯,TKMB181204YE,A1601,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB1803077A,SM-A8000,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB191000AE,SM-N910C,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB18030213,"REDMI 4X",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB200303R1,PADM00,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB18060136,ATH-AL00,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB2007032M,SM-G9350,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB180701NW,SM-A6050,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB190400MJ,VOG-AL10,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB191100R1,AUM-L29,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB191201F9,V1832A,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB1909018R,YAL-AL10,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB160904E8,"VIVO XPLAY5A",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB200901M7,"MI 10",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB201202JM,SM-N9860,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB201202JN,SM-F9160,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB17030217,"VIVO V3M A",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB191100R3,JKM-LX2,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB20040108,ANA-AN00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB20050276,"OPPO R9ST",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB201203F1,V1836A,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB18010527,"VIVO X7PLUS",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB1809003P,MP1701,MEITU,Android,Meitu,,"新增 (deployable)"
腾讯,TKMB191000W0,SM-G920I,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB2005025L,CLT-AL01,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB1912025P,V1928A,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB17090199,"HUAWEI CAZ-AL10",HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB1801041E,"MI 6",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB191000W4,SM-N920C,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB20020036,iPhoneXS,Apple,iOS,Apple,,"新增 (deployable)"
腾讯,TKMB19050054,iPhoneX,Apple,iOS,Apple,,"新增 (deployable)"
腾讯,TKMB19120728,PAFM00,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB180900WW,SM-G6100,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB180601A7,"MI 8 SE",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB19050XTN,GT-I9300,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB20040628,"HUAWEI CRR-UL00",HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB180302FA,"VIVO X9S",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB19120140,ASUS_I001DB,ASUS,Android,asus,,"新增 (deployable)"
腾讯,TKMB200400N4,SM-G9650,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
