公司,资产标签,型号,品牌,类别：,生产厂家,位置,状态
腾讯,TKMB170202H8,"VIVO X7PLUS",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB191207X4,F-01J,DOCOMO,Android,FUJITSU,,"新增 (deployable)"
腾讯,TKMB1806013X,"MI NOTE 2",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB190700Y7,"CMCC M761",CMCC,Android,CMDC,,"新增 (deployable)"
腾讯,TKMB2003004R,SM-A2070,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB1911016M,"VIVO Y67A",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB190508NG,DIG-TL10,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB19050XJ7,SM-G5700,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB1909002P,SM-J400M,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB190902X7,SM-G930T,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB191201PT,XT1965-6,MOTOROLA,Android,motorola,,"新增 (deployable)"
腾讯,TKMB200405J0,PDCM00,OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB1912079F,VIE-AL10,HUAWEI,Android,HUAWEI,A1-线下箱子5,"待上线 (deployable)"
腾讯,TKMB18010410,"VIVO X9",VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB171201SE,"REDMI NOTE 4X",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB17090230,"M5 NOTE",MEIZU,Android,meizu,B2-G02-0312,"上线 (deployable)"
腾讯,TKMB17030402,"OPPO R7SM",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB2012042X,V2020CA,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB201001N7,SM-A105FN,samsung,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB201001M9,RNE-L22,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB171104A3,"REDMI NOTE 4X",XIAOMI,Android,Xiaomi,,"新增 (deployable)"
腾讯,TKMB180400XE,"OPPO A37M",OPPO,Android,OPPO,,"新增 (deployable)"
腾讯,TKMB191101JM,BLN-AL40,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB200500N7,NX619J,NUBIA,Android,nubia,,"新增 (deployable)"
腾讯,TKMB2010021F,SM-A405FN,samsung,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB17040284,VKY-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB17020142,BLN-AL10,HONOR,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB20050306,SPN-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
腾讯,TKMB200901F9,V1818CA,VIVO,Android,vivo,,"新增 (deployable)"
腾讯,TKMB2004062P,SM-A7050,SAMSUNG,Android,SAMSUNG,,"新增 (deployable)"
腾讯,TKMB2011031X,DUB-AL00,HUAWEI,Android,HUAWEI,,"新增 (deployable)"
